result_id,event_title,edition_id,sport
66645,"Hammer Throw, Women",26,Athletics
319000,"Eights, Men",54,Rowing
357237,"200 metres Backstroke, Women",59,Swimming
19416,"Half-Heavyweight (≤100 kilograms), Men",26,Judo
29807,"Bantamweight (≤56 kilograms), Men",21,Weightlifting
302378,"800 metres, Women",54,Athletics
51914,"Air Rifle, 10 metres, Women",24,Shooting
159183,"Double Sculls, Men",23,Rowing
256950,"Individual, Men",53,Archery
70597,"Parallel Bars, Men",22,Artistic Gymnastics
62722,"5,000 metres, Men",21,Athletics
7498,"800 metres Freestyle, Women",22,Swimming
18000720,"Air Pistol, 10 metres, Men",61,Shooting
130667,"Light-Heavyweight, Greco-Roman (≤90 kilograms), Men",22,Wrestling
321000,"Air Rifle, 10 metres, Women",54,Shooting
51804,"Trap, Open",22,Shooting
10275,"Two Person Dinghy (470), Women",22,Sailing
34997,"Handball, Women",25,Handball
19001631,"Water Polo, Women",61,Water Polo
8368,"200 metres Freestyle, Men",25,Swimming
37560,"Volleyball, Men",24,Volleyball
36091,"Hockey, Women",21,Hockey
256030,"Kayak Singles, Slalom, Men",23,Canoe Slalom
26237,"Lightweight (≤60 kilograms), Men",23,Boxing
134292,"Lightweight, Freestyle (≤55 kilograms), Women",26,Wrestling
258552,"Super-Heavyweight (>91 kilograms), Men",53,Boxing
32783,"Basketball, Women",23,Basketball
8452,"100 metres Butterfly, Men",25,Swimming
29987,"Bantamweight (≤56 kilograms), Men",23,Weightlifting
8940,"50 metres Freestyle, Women",26,Swimming
51825,"Air Pistol, 10 metres, Men",23,Shooting
8044,"100 metres Breaststroke, Men",24,Swimming
10093,"One Person Dinghy (Finn), Open",21,Sailing
257321,"Long Jump, Men",53,Athletics
65861,"Long Jump, Women",25,Athletics
27555,"Light-Welterweight (≤64 kilograms), Men",26,Boxing
308110,"Cross-Country, Men",54,Cycling Mountain Bike
302004,"Shot Put, Men",54,Athletics
302147,"Heptathlon, Women",54,Athletics
63197,"Javelin Throw, Women",21,Athletics
70745,"Individual All-Around, Men",25,Artistic Gymnastics
19000437,"Marathon, Men",61,Athletics
355132,"Half-Heavyweight (≤78 kilograms), Women",59,Judo
257592,"400 metres, Women",53,Athletics
261254,"Two Person Dinghy (470), Women",53,Sailing
18000000,"3x3 Basketball, Men",61,3x3 Basketball
64951,"Decathlon, Men",24,Athletics
302537,"4 x 100 metres Relay, Men",54,Athletics
261646,"4 x 200 metres Freestyle Relay, Men",53,Swimming
18000100,"Kata, Men",61,Karate
319191,"Coxless Fours, Men",54,Rowing
256346,"Kayak Doubles, 1,000 metres, Men",26,Canoe Sprint
66430,"200 metres, Women",26,Athletics
62432,"Decathlon, Men",20,Athletics
302055,"Triple Jump, Women",54,Athletics
353200,"Team, Women",59,Artistic Swimming
258421,"Welterweight (≤69 kilograms), Men",53,Boxing
331027,"Lightweight (≤58 kilograms), Women",54,Weightlifting
